2024-04-26T16:05:49.336271+0800 - INFO - [ --- Episode: 426, Reward: 8116.0, Epsilon: 0.01 --- ]
2024-04-26T16:07:15.999331+0800 - INFO - [ --- Episode: 429, Reward: 2502.0, Epsilon: 0.01 --- ]
2024-04-26T16:09:15.329271+0800 - INFO - [ --- Episode: 432, Reward: 1300.0, Epsilon: 0.01 --- ]
2024-04-26T16:11:02.903627+0800 - INFO - [ --- Episode: 435, Reward: 7616.0, Epsilon: 0.01 --- ]
2024-04-26T16:15:15.138154+0800 - INFO - [ --- Episode: 438, Reward: 7205.0, Epsilon: 0.01 --- ]
2024-04-26T16:19:38.131789+0800 - INFO - [ --- Episode: 12, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T16:23:26.489927+0800 - INFO - [ --- Episode: 441, Reward: 5209.0, Epsilon: 0.01 --- ]
2024-04-26T16:27:22.907838+0800 - INFO - [ --- Episode: 444, Reward: 2708.0, Epsilon: 0.01 --- ]
2024-04-26T16:30:04.483829+0800 - INFO - [ --- Episode: 447, Reward: 5807.0, Epsilon: 0.01 --- ]
2024-04-26T16:32:19.416971+0800 - INFO - [ --- Episode: 450, Reward: 1104.0, Epsilon: 0.01 --- ]
2024-04-26T16:34:16.131258+0800 - INFO - [ --- Episode: 453, Reward: 2810.0, Epsilon: 0.01 --- ]
2024-04-26T16:35:52.610413+0800 - INFO - [ --- Episode: 456, Reward: 11914.0, Epsilon: 0.01 --- ]
2024-04-26T16:37:26.984887+0800 - INFO - [ --- Episode: 459, Reward: 4206.0, Epsilon: 0.01 --- ]
2024-04-26T16:39:11.037532+0800 - INFO - [ --- Episode: 462, Reward: 1204.0, Epsilon: 0.01 --- ]
2024-04-26T16:40:26.241219+0800 - INFO - [ --- Episode: 465, Reward: 2908.0, Epsilon: 0.01 --- ]
2024-04-26T16:42:41.767470+0800 - INFO - [ --- Episode: 468, Reward: 14321.0, Epsilon: 0.01 --- ]
2024-04-26T16:46:04.002494+0800 - INFO - [ --- Episode: 471, Reward: 15720.0, Epsilon: 0.01 --- ]
2024-04-26T16:47:54.061861+0800 - INFO - [ --- Episode: 474, Reward: 7011.0, Epsilon: 0.01 --- ]
2024-04-26T16:49:28.487783+0800 - INFO - [ --- Episode: 477, Reward: 2803.0, Epsilon: 0.01 --- ]
2024-04-26T16:51:12.280642+0800 - INFO - [ --- Episode: 480, Reward: 3324.0, Epsilon: 0.01 --- ]
2024-04-26T16:51:18.052738+0800 - INFO - [ --- Episode: 15, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T16:53:53.959325+0800 - INFO - [ --- Episode: 483, Reward: 5309.0, Epsilon: 0.01 --- ]
2024-04-26T16:56:30.823766+0800 - INFO - [ --- Episode: 486, Reward: 6910.0, Epsilon: 0.01 --- ]
2024-04-26T17:12:58.159018+0800 - INFO - [ --- Episode: 489, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T17:23:05.287899+0800 - INFO - [ --- Episode: 18, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T17:23:33.276615+0800 - INFO - [ --- Episode: 492, Reward: 5812.0, Epsilon: 0.01 --- ]
2024-04-26T17:26:38.364185+0800 - INFO - [ --- Episode: 495, Reward: 9708.0, Epsilon: 0.01 --- ]
2024-04-26T17:29:09.271683+0800 - INFO - [ --- Episode: 498, Reward: 2404.0, Epsilon: 0.01 --- ]
2024-04-26T17:33:02.718610+0800 - INFO - [ --- Episode: 501, Reward: 1904.0, Epsilon: 0.01 --- ]
2024-04-26T17:38:31.096056+0800 - INFO - [ --- Episode: 504, Reward: 18326.0, Epsilon: 0.01 --- ]
2024-04-26T17:50:13.433816+0800 - INFO - [ --- Episode: 507, Reward: 1405.0, Epsilon: 0.01 --- ]
2024-04-26T17:53:30.949403+0800 - INFO - [ --- Episode: 21, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T17:55:34.628541+0800 - INFO - [ --- Episode: 510, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T18:02:15.065005+0800 - INFO - [ --- Episode: 513, Reward: 8503.0, Epsilon: 0.01 --- ]
2024-04-26T18:10:20.807507+0800 - INFO - [ --- Episode: 516, Reward: 10629.0, Epsilon: 0.01 --- ]
2024-04-26T18:14:18.872242+0800 - INFO - [ --- Episode: 519, Reward: 6703.0, Epsilon: 0.01 --- ]
2024-04-26T18:20:14.095108+0800 - INFO - [ --- Episode: 24, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T18:27:53.674533+0800 - INFO - [ --- Episode: 522, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T18:31:55.264545+0800 - INFO - [ --- Episode: 525, Reward: 7206.0, Epsilon: 0.01 --- ]
2024-04-26T18:34:21.971996+0800 - INFO - [ --- Episode: 528, Reward: 11413.0, Epsilon: 0.01 --- ]
2024-04-26T18:37:27.651707+0800 - INFO - [ --- Episode: 531, Reward: 36031.0, Epsilon: 0.01 --- ]
2024-04-26T18:39:43.245326+0800 - INFO - [ --- Episode: 534, Reward: 4611.0, Epsilon: 0.01 --- ]
2024-04-26T18:43:32.452908+0800 - INFO - [ --- Episode: 537, Reward: 4411.0, Epsilon: 0.01 --- ]
2024-04-26T18:45:47.216458+0800 - INFO - [ --- Episode: 27, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T18:53:36.035842+0800 - INFO - [ --- Episode: 540, Reward: 4610.0, Epsilon: 0.01 --- ]
2024-04-26T19:11:52.539452+0800 - INFO - [ --- Episode: 30, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T19:15:27.776793+0800 - INFO - [ --- Episode: 543, Reward: 5408.0, Epsilon: 0.01 --- ]
2024-04-26T19:20:16.580888+0800 - INFO - [ --- Episode: 546, Reward: 13705.0, Epsilon: 0.01 --- ]
2024-04-26T19:27:15.424888+0800 - INFO - [ --- Episode: 549, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T19:33:53.281485+0800 - INFO - [ --- Episode: 552, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T19:36:29.220506+0800 - INFO - [ --- Episode: 555, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T19:37:23.912613+0800 - INFO - [ --- Episode: 33, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T19:39:43.048033+0800 - INFO - [ --- Episode: 558, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T19:43:28.740329+0800 - INFO - [ --- Episode: 561, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T19:47:48.776111+0800 - INFO - [ --- Episode: 564, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T19:54:14.814807+0800 - INFO - [ --- Episode: 567, Reward: 37022.0, Epsilon: 0.01 --- ]
2024-04-26T19:59:56.600841+0800 - INFO - [ --- Episode: 36, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T20:01:05.401144+0800 - INFO - [ --- Episode: 570, Reward: 5503.0, Epsilon: 0.01 --- ]
2024-04-26T20:10:24.065557+0800 - INFO - [ --- Episode: 573, Reward: 2511.0, Epsilon: 0.01 --- ]
2024-04-26T20:16:03.015367+0800 - INFO - [ --- Episode: 576, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T20:24:05.999878+0800 - INFO - [ --- Episode: 39, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T20:28:37.390750+0800 - INFO - [ --- Episode: 579, Reward: 0.0, Epsilon: 0.01 --- ]
