2024-04-25T15:45:10.971855+0800 - INFO - [ --- Episode: 159, Reward: 18.0, Epsilon: 0.72 --- ]
2024-04-25T15:45:11.503690+0800 - INFO - [ --- Episode: 162, Reward: 8.0, Epsilon: 0.71 --- ]
2024-04-25T15:45:11.905171+0800 - INFO - [ --- Episode: 165, Reward: 10.0, Epsilon: 0.71 --- ]
2024-04-25T15:45:12.526776+0800 - INFO - [ --- Episode: 168, Reward: 8.0, Epsilon: 0.71 --- ]
2024-04-25T15:45:13.255842+0800 - INFO - [ --- Episode: 171, Reward: 13.0, Epsilon: 0.70 --- ]
2024-04-25T15:45:13.791709+0800 - INFO - [ --- Episode: 174, Reward: 16.0, Epsilon: 0.70 --- ]
2024-04-25T15:45:14.548492+0800 - INFO - [ --- Episode: 177, Reward: 23.0, Epsilon: 0.69 --- ]
2024-04-25T15:45:15.121577+0800 - INFO - [ --- Episode: 180, Reward: 16.0, Epsilon: 0.69 --- ]
2024-04-25T15:45:15.884477+0800 - INFO - [ --- Episode: 183, Reward: 32.0, Epsilon: 0.69 --- ]
2024-04-25T15:45:16.372847+0800 - INFO - [ --- Episode: 186, Reward: 12.0, Epsilon: 0.68 --- ]
2024-04-25T15:45:16.990693+0800 - INFO - [ --- Episode: 189, Reward: 20.0, Epsilon: 0.68 --- ]
2024-04-25T15:45:17.602735+0800 - INFO - [ --- Episode: 192, Reward: 12.0, Epsilon: 0.68 --- ]
2024-04-25T15:45:18.035830+0800 - INFO - [ --- Episode: 195, Reward: 17.0, Epsilon: 0.67 --- ]
2024-04-25T15:45:18.722142+0800 - INFO - [ --- Episode: 198, Reward: 38.0, Epsilon: 0.67 --- ]
2024-04-25T15:45:19.427060+0800 - INFO - [ --- Episode: 201, Reward: 27.0, Epsilon: 0.67 --- ]
2024-04-25T15:45:19.951078+0800 - INFO - [ --- Episode: 204, Reward: 16.0, Epsilon: 0.66 --- ]
2024-04-25T15:45:20.738253+0800 - INFO - [ --- Episode: 207, Reward: 26.0, Epsilon: 0.66 --- ]
2024-04-25T15:45:21.507009+0800 - INFO - [ --- Episode: 210, Reward: 11.0, Epsilon: 0.65 --- ]
2024-04-25T15:45:21.869138+0800 - INFO - [ --- Episode: 213, Reward: 11.0, Epsilon: 0.65 --- ]
2024-04-25T15:45:22.309916+0800 - INFO - [ --- Episode: 216, Reward: 12.0, Epsilon: 0.65 --- ]
2024-04-25T15:45:22.853031+0800 - INFO - [ --- Episode: 219, Reward: 18.0, Epsilon: 0.65 --- ]
2024-04-25T15:45:23.338575+0800 - INFO - [ --- Episode: 222, Reward: 17.0, Epsilon: 0.64 --- ]
2024-04-25T15:45:23.968171+0800 - INFO - [ --- Episode: 225, Reward: 18.0, Epsilon: 0.64 --- ]
2024-04-25T15:45:24.433343+0800 - INFO - [ --- Episode: 228, Reward: 10.0, Epsilon: 0.64 --- ]
2024-04-25T15:45:24.901931+0800 - INFO - [ --- Episode: 231, Reward: 10.0, Epsilon: 0.63 --- ]
2024-04-25T15:45:25.504682+0800 - INFO - [ --- Episode: 234, Reward: 10.0, Epsilon: 0.63 --- ]
2024-04-25T15:45:25.902527+0800 - INFO - [ --- Episode: 237, Reward: 12.0, Epsilon: 0.63 --- ]
